epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7362,0.84737,2.423,1.10693,0.91044,0.5658,0.84896,0.66369,0.85739,1.63061,1.06685,0.000470066,0.000470066,0.000470066
2,147.071,0.88694,1.62398,1.08849,0.6774,0.73054,0.67367,0.52153,0.83491,1.609,1.01837,0.00093703,0.00093703,0.00093703
3,202.493,0.86829,1.39891,1.06555,0.91816,0.85397,0.90664,0.70384,0.84088,1.28342,1.06759,0.00139456,0.00139456,0.00139456
4,258.637,0.86608,1.30533,1.04968,0.74311,0.87519,0.91292,0.72828,0.87443,1.54382,1.0144,0.00138656,0.00138656,0.00138656
5,313.904,0.85182,1.29695,1.04737,0.97113,0.90859,0.94349,0.76267,0.85705,0.96649,1.0265,0.00137241,0.00137241,0.00137241
6,369.845,0.84507,1.13942,1.04408,0.81312,0.92732,0.94298,0.78526,0.75153,1.07887,0.97996,0.00135826,0.00135826,0.00135826
7,425.332,0.81106,1.04184,1.02185,0.96465,0.91719,0.97074,0.77884,0.78434,0.82044,0.96552,0.00134412,0.00134412,0.00134412
8,481.27,0.81203,1.02724,1.01615,0.89576,0.90794,0.95088,0.77387,0.77686,0.8695,0.94522,0.00132997,0.00132997,0.00132997
9,536.535,0.84108,1.0195,1.031,0.93701,0.92136,0.93446,0.75484,0.78414,0.77452,0.96179,0.00131582,0.00131582,0.00131582
10,591.86,0.84985,0.91048,1.0141,0.90628,0.94433,0.94391,0.75789,0.81465,0.7913,0.97468,0.00130168,0.00130168,0.00130168
11,646.841,0.82106,0.93119,1.0314,0.93393,0.95082,0.94573,0.76473,0.78461,0.70553,0.96099,0.00128753,0.00128753,0.00128753
12,703.175,0.75337,0.80693,0.98587,0.94847,0.93651,0.95246,0.77618,0.75107,0.66699,0.97061,0.00127338,0.00127338,0.00127338
13,758.65,0.803,0.84761,1.03581,0.95088,0.94431,0.95599,0.76176,0.80654,0.62976,0.96944,0.00125923,0.00125923,0.00125923
14,813.935,0.80103,0.76498,0.99989,0.94278,0.91746,0.94766,0.75506,0.81917,0.75156,0.95716,0.00124509,0.00124509,0.00124509
15,869.118,0.78112,0.75895,1.00518,0.94592,0.94255,0.9606,0.77769,0.75749,0.5888,0.92101,0.00123094,0.00123094,0.00123094
16,924.165,0.78525,0.77515,0.99871,0.95176,0.94603,0.96282,0.76937,0.77249,0.57609,0.93325,0.00121679,0.00121679,0.00121679
17,979.785,0.80229,0.75347,1.00582,0.97483,0.92663,0.96571,0.7878,0.72647,0.54466,0.92355,0.00120265,0.00120265,0.00120265
18,1035.23,0.74483,0.67063,0.98484,0.93543,0.93651,0.92426,0.76569,0.75356,0.63599,0.92941,0.0011885,0.0011885,0.0011885
19,1090.48,0.75722,0.69603,0.99168,0.92813,0.96094,0.96193,0.77395,0.74343,0.55719,0.91937,0.00117435,0.00117435,0.00117435
20,1145.66,0.75163,0.66481,0.97496,0.95654,0.94603,0.95123,0.75253,0.78629,0.55957,0.94272,0.00116021,0.00116021,0.00116021
21,1201.24,0.73863,0.63787,0.96707,0.93991,0.93392,0.94387,0.76594,0.753,0.55807,0.92014,0.00114606,0.00114606,0.00114606
22,1256.84,0.73918,0.6438,0.98928,0.95197,0.94603,0.9369,0.76886,0.75495,0.58883,0.92244,0.00113191,0.00113191,0.00113191
23,1312.45,0.74852,0.64627,0.97974,0.93115,0.9746,0.96019,0.77735,0.75887,0.50355,0.92075,0.00111776,0.00111776,0.00111776
24,1368,0.73514,0.61196,0.98472,0.98277,0.93651,0.97189,0.79301,0.75698,0.46905,0.91737,0.00110362,0.00110362,0.00110362
25,1423.25,0.76214,0.61481,0.99582,0.94373,0.9746,0.96761,0.78674,0.74976,0.45527,0.91597,0.00108947,0.00108947,0.00108947
26,1478.84,0.73471,0.5675,0.9802,0.94007,0.94691,0.97191,0.77447,0.75892,0.46579,0.92856,0.00107532,0.00107532,0.00107532
