epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.62864,1.93319,3.25779,1.84769,0.00575,0.5,0.03317,0.03317,0.3195,3.42406,0.66842,0,0,0
2,3.30786,2.30707,3.79366,2.28116,0.00575,0.5,0.03317,0.03317,0.3195,3.42406,0.66842,1.40071e-05,1.40071e-05,1.40071e-05
3,4.97542,1.83274,3.4812,1.91153,0.00543,0.5,0.04523,0.04523,0.31028,3.43535,0.65341,2.74482e-05,2.74482e-05,2.74482e-05
4,6.43741,1.89286,3.78006,1.59117,0.00543,0.5,0.04523,0.04523,0.31028,3.43535,0.65341,4.03235e-05,4.03235e-05,4.03235e-05
5,7.93122,2.66269,4.09748,2.64049,0.00543,0.5,0.04523,0.04523,0.31028,3.43535,0.65341,5.26329e-05,5.26329e-05,5.26329e-05
6,9.4064,1.1134,3.28218,1.35199,0.00543,0.5,0.04523,0.04523,0.31028,3.43535,0.65341,6.43764e-05,6.43764e-05,6.43764e-05
7,10.8577,2.60692,3.927,2.42445,0.00543,0.5,0.04523,0.04523,0.31028,3.43535,0.65341,7.55541e-05,7.55541e-05,7.55541e-05
8,12.4446,1.16663,3.4874,1.46915,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,8.61658e-05,8.61658e-05,8.61658e-05
9,13.8997,0.83418,3.10706,1.12471,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,9.62117e-05,9.62117e-05,9.62117e-05
10,15.3796,1.01923,4.06135,1.53976,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000105692,0.000105692,0.000105692
11,16.769,0,7.92558,0,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000114606,0.000114606,0.000114606
12,18.2426,0.85754,3.16641,1.26624,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000122954,0.000122954,0.000122954
13,19.6563,1.62054,3.46598,1.8549,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000130736,0.000130736,0.000130736
14,21.1205,0.77473,3.85485,1.46106,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000137953,0.000137953,0.000137953
15,22.5698,0.69363,4.10911,1.13339,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000144603,0.000144603,0.000144603
16,24.0005,0.46944,3.3454,0.89522,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000150688,0.000150688,0.000150688
17,25.6,0.56221,2.96527,1.03737,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000156207,0.000156207,0.000156207
18,27.0578,1.24811,3.19286,1.34386,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.00016116,0.00016116,0.00016116
19,28.6381,0.46341,3.21422,0.97049,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000165547,0.000165547,0.000165547
20,30.2,0.89491,3.46334,1.33343,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000169368,0.000169368,0.000169368
21,31.6875,0.65466,3.24318,1.09069,0.00505,0.5,0.4975,0.4975,0.30702,3.43266,0.66265,0.000172623,0.000172623,0.000172623
22,33.2638,0.6553,3.04378,1.11152,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000175313,0.000175313,0.000175313
23,34.7472,1.25879,3.24893,1.62278,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000177436,0.000177436,0.000177436
24,36.2176,1.19301,3.12192,1.40935,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000178994,0.000178994,0.000178994
25,37.6591,0.5203,3.47934,1.17154,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000179985,0.000179985,0.000179985
26,39.0953,0.73239,2.66213,0.90824,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000180411,0.000180411,0.000180411
27,40.5486,0.41128,3.12825,0.85156,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000180271,0.000180271,0.000180271
28,41.995,1.22965,3.71592,1.52912,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000179565,0.000179565,0.000179565
29,43.46,0.3652,2.68017,0.96522,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000178293,0.000178293,0.000178293
30,44.8936,0.29551,2.97451,1.01601,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000176456,0.000176456,0.000176456
31,46.3573,0.43295,3.65923,0.82695,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000174052,0.000174052,0.000174052
32,47.8732,0.29736,2.55282,0.97302,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000171083,0.000171083,0.000171083
33,49.3397,0.44321,2.94717,0.81123,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000167547,0.000167547,0.000167547
34,50.7565,0.46869,2.78958,1.02808,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000163446,0.000163446,0.000163446
35,52.2012,0.27233,2.87866,0.92981,0.00602,0.5,0.4975,0.44775,0.30359,3.4107,0.66378,0.000158779,0.000158779,0.000158779
