epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2158,2.35599,5.25046,2.10642,0.00455,0.75,0.18722,0.14569,0.73858,3.70552,0.90207,1e-05,1e-05,1e-05
2,28.3106,1.71335,3.86079,1.8585,0.00462,0.75,0.18741,0.14693,0.73997,3.707,0.90566,2.9406e-05,2.9406e-05,2.9406e-05
3,45.1935,1.94934,4.3544,1.69086,0.00462,0.75,0.18741,0.14693,0.73997,3.707,0.90566,4.802e-05,4.802e-05,4.802e-05
4,60.2918,1.71215,4.3079,1.52154,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,6.5842e-05,6.5842e-05,6.5842e-05
5,77.6918,1.16971,3.66631,1.2373,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,8.2872e-05,8.2872e-05,8.2872e-05
6,90.3181,1.50375,3.72492,1.37352,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,9.911e-05,9.911e-05,9.911e-05
7,104.197,1.8424,4.79181,1.82004,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,0.000114556,0.000114556,0.000114556
8,120.196,0.61628,6.12139,0.80359,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,0.00012921,0.00012921,0.00012921
9,135.048,1.12577,3.50518,1.1036,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,0.000143072,0.000143072,0.000143072
10,149.509,1.06626,4.14022,1.34105,0.00455,0.75,0.19661,0.15471,0.76697,3.70791,0.92809,0.000156142,0.000156142,0.000156142
11,163.295,1.19564,3.82125,1.40947,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00016842,0.00016842,0.00016842
12,177.681,0.71389,4.35191,1.24979,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000179906,0.000179906,0.000179906
13,191.482,0.47575,3.62109,0.95904,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.0001906,0.0001906,0.0001906
14,205.723,0.81968,3.49153,1.09293,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000200502,0.000200502,0.000200502
15,220.34,0.81405,3.28956,1.08703,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000209612,0.000209612,0.000209612
16,234.179,0.75111,3.95116,1.20421,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00021793,0.00021793,0.00021793
17,248.254,1.07628,3.57701,1.21253,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000225456,0.000225456,0.000225456
18,262.039,0.63928,3.38599,0.98318,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00023219,0.00023219,0.00023219
19,276.494,1.10096,3.4353,1.1865,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000238132,0.000238132,0.000238132
20,290.795,1.06903,3.36491,1.18255,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000243282,0.000243282,0.000243282
21,307.756,0.7124,3.63284,1.25836,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00024764,0.00024764,0.00024764
22,323.195,0.75935,3.49679,1.06322,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000251206,0.000251206,0.000251206
23,336.987,0.70001,3.90539,1.06916,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00025398,0.00025398,0.00025398
24,350.07,0.7065,3.31869,0.96913,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000255962,0.000255962,0.000255962
25,364.943,0.96246,3.42526,1.19066,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000257152,0.000257152,0.000257152
26,380.412,1.09004,3.62875,1.29672,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00025755,0.00025755,0.00025755
27,393.984,0.99364,3.83196,1.06236,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000257156,0.000257156,0.000257156
28,411.437,0.52547,3.26657,0.87511,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.00025597,0.00025597,0.00025597
29,424.629,0.66453,3.21111,0.81294,0.00446,0.75,0.17734,0.13017,0.85445,3.73196,0.99948,0.000253992,0.000253992,0.000253992
30,438.375,1.29064,3.49981,1.31497,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000251222,0.000251222,0.000251222
31,451.739,1.12902,3.3598,1.2775,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.00024766,0.00024766,0.00024766
32,464.706,0.95993,3.19069,1.00958,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000243306,0.000243306,0.000243306
33,476.103,0.75677,3.11516,1.01209,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.00023816,0.00023816,0.00023816
34,487.624,0.46612,3.14741,0.87713,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000232222,0.000232222,0.000232222
35,500.495,0.38496,5.43278,0.44424,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000225492,0.000225492,0.000225492
36,515.253,0.6083,3.16285,0.95405,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.00021797,0.00021797,0.00021797
37,530.417,0.49976,3.26114,0.94534,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000209656,0.000209656,0.000209656
38,545.709,1.07583,3.27142,1.08227,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.00020055,0.00020055,0.00020055
39,561.339,1.0299,3.33685,1.30134,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000190652,0.000190652,0.000190652
40,576.628,1.15286,3.51618,1.27207,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000179962,0.000179962,0.000179962
41,591.474,0.62489,3.73053,0.77654,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.00016848,0.00016848,0.00016848
42,605.992,0.74042,3.38278,1.05371,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000156206,0.000156206,0.000156206
43,623.457,0.7495,3.45811,1.08537,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.00014314,0.00014314,0.00014314
44,638.01,0.70612,3.62714,1.09214,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000129282,0.000129282,0.000129282
45,654.714,0.79162,3.57696,1.05001,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,0.000114632,0.000114632,0.000114632
46,670.731,0.88086,3.61773,0.92436,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,9.919e-05,9.919e-05,9.919e-05
47,687.057,0.65818,3.52016,1.17601,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,8.2956e-05,8.2956e-05,8.2956e-05
48,699.52,0.74537,3.58742,0.97431,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,6.593e-05,6.593e-05,6.593e-05
49,712.69,0.58567,3.41157,0.95854,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,4.8112e-05,4.8112e-05,4.8112e-05
50,731.116,0.72682,3.59572,0.9759,0.0045,0.75,0.13674,0.09345,1.00462,3.80325,1.10508,2.9502e-05,2.9502e-05,2.9502e-05
