epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63701,1.09742,3.77201,1.30177,0.00558,0.75,0.31453,0.24632,0.69056,3.44217,0.90234,0.0001,0.0001,0.0001
2,16.5129,0.76773,2.95554,1.05388,0.02081,0.75,0.29281,0.23518,0.62893,2.83602,0.88192,0.000207921,0.000207921,0.000207921
3,24.3478,0.89168,2.41066,1.10962,0.02777,0.75,0.28224,0.22801,0.69095,2.52454,0.87111,0.000313664,0.000313664,0.000313664
4,32.2987,0.81324,1.99882,1.07131,0.03483,0.75,0.28974,0.22884,0.76848,2.53214,0.90383,0.000417229,0.000417229,0.000417229
5,40.1018,0.84149,1.91998,1.05267,0.74121,0.44565,0.31006,0.25399,0.75268,1.95147,0.92197,0.000518616,0.000518616,0.000518616
6,47.983,0.91313,1.95127,1.12938,0.74898,0.48909,0.32742,0.26583,0.7874,1.46403,0.94316,0.000617825,0.000617825,0.000617825
7,55.7668,0.83848,1.85885,1.06158,0.82625,0.45833,0.40647,0.33191,0.71411,1.28884,0.9134,0.000714856,0.000714856,0.000714856
8,63.6795,0.86324,1.88387,1.05922,0.81185,0.44444,0.40122,0.32596,0.74676,1.3098,0.922,0.000809709,0.000809709,0.000809709
9,71.5088,0.79595,1.73152,1.01566,0.83869,0.37698,0.38957,0.307,0.72918,1.29284,0.93865,0.000902384,0.000902384,0.000902384
10,79.2465,0.81276,1.70906,0.99493,0.76351,0.49547,0.35685,0.28363,0.73137,1.15788,0.92835,0.0009109,0.0009109,0.0009109
11,86.9746,0.71295,1.56156,0.95091,0.74569,0.49991,0.32796,0.26523,0.69529,1.42636,0.89379,0.000901,0.000901,0.000901
12,94.7363,0.75247,1.52046,0.97596,0.88311,0.33192,0.36373,0.29548,0.70573,1.29104,0.86958,0.0008911,0.0008911,0.0008911
13,102.469,0.75263,1.57509,0.99564,0.85085,0.46131,0.41483,0.33793,0.7083,1.29297,0.86101,0.0008812,0.0008812,0.0008812
14,110.267,0.72543,1.56942,1.00047,0.75502,0.46429,0.38415,0.30433,0.71798,2.37997,0.85235,0.0008713,0.0008713,0.0008713
15,118.765,0.73649,1.45504,0.9702,0.87072,0.33593,0.34147,0.2732,0.77769,1.29692,0.89436,0.0008614,0.0008614,0.0008614
16,127.627,0.7109,1.48805,0.94054,0.9292,0.33234,0.35937,0.28283,0.75438,1.19152,0.87874,0.0008515,0.0008515,0.0008515
17,137.215,0.77898,1.42059,0.97914,0.77702,0.47619,0.44959,0.35798,0.79443,1.36504,0.89429,0.0008416,0.0008416,0.0008416
18,144.885,0.80819,1.5742,0.99983,0.87046,0.43056,0.45277,0.36426,0.72931,1.3114,0.88244,0.0008317,0.0008317,0.0008317
19,153.116,0.77892,1.43378,0.9982,0.86753,0.46032,0.44654,0.36102,0.69281,1.31207,0.86672,0.0008218,0.0008218,0.0008218
20,161.167,0.70453,1.41833,0.97571,0.88309,0.47292,0.45852,0.37669,0.74901,0.91173,0.86567,0.0008119,0.0008119,0.0008119
